SK_ID_CURR,TARGET
100001,0.05665443565680849
100005,0.15971422090368703
100013,0.02700307924361709
100028,0.029209825820425122
100038,0.15899530232007753
100042,0.03050882347622451
100057,0.01231378474167967
100065,0.03743820049014281
100066,0.012529679505843664
100067,0.08417470641210126
100074,0.039663564283044704
100090,0.039976421908325226
100091,0.10295354971016542
100092,0.060495090346873004
100106,0.03104045591067463
100107,0.10236761147926149
100109,0.05415520635653867
100117,0.018537762173603523
100128,0.11223593527404599
100141,0.036065084887143356
100150,0.03877366771223614
100168,0.010249790348707162
100169,0.0471288063615196
100170,0.16875454677847795
100171,0.044384823996227604
100172,0.09017129414340735
100184,0.0568099119581302
100187,0.04339186023105359
100212,0.019469225285274658
100222,0.03172266268670082
100223,0.02204855965319525
100232,0.008815852002630006
100241,0.11829226100556892
100245,0.023614927374439043
100253,0.02427747572111462
100256,0.06807584557339563
100271,0.0071799204096673445
100278,0.442438952577584
100280,0.012896037169187868
100306,0.21093957059967866
100311,0.09559374034016398
100312,0.025375191674385476
100330,0.059785125373081754
100331,0.017845219107610694
100352,0.1183905475019966
100358,0.04632329661580001
100367,0.017675637445159136
100382,0.060044385807954
100384,0.1988256086194175
100385,0.0864315840668525
100386,0.017459727427824017
100399,0.034264778079063765
100404,0.022738256302031128
100416,0.010233821622741437
100422,0.025074128281810534
100426,0.04988096893086961
100438,0.03243717254595586
100444,0.12650751180385805
100445,0.09449719406636464
100446,0.09564159421870061
100447,0.021280274228993756
100450,0.058636251097319805
100466,0.017853590293756404
100483,0.017122118252159372
100484,0.02157085100972124
100494,0.04487257925637487
100510,0.1402515850813525
100512,0.01573192640268215
100517,0.036925746405160026
100548,0.009986295054426778
100551,0.07440345605652009
100552,0.054459572845109425
100553,0.014049388349571697
100561,0.16239404701195959
100568,0.326308607772257
100569,0.010889181553798146
100591,0.06894279600441333
100592,0.03326681843090084
100602,0.025160496561533463
100607,0.06200544962356926
100613,0.05362097793249471
100617,0.07978100916686177
100618,0.13008646437409413
100622,0.0930124561483097
100625,0.02403381379075368
