SK_ID_CURR,TARGET
100001,0.05180382
100005,0.15111844
100013,0.037734836
100028,0.021701489
100038,0.11995616
100042,0.025986478
100057,0.015397881
100065,0.024209136
100066,0.01275188
100067,0.078162625
100074,0.036824394
100090,0.04107882
100091,0.0965107
100092,0.046791248
100106,0.03317818
100107,0.094408624
100109,0.047633745
100117,0.0131788375
100128,0.07459732
100141,0.040168814
100150,0.04620122
100168,0.008936667
100169,0.041974574
100170,0.13243936
100171,0.038950663
100172,0.08763059
100184,0.036591575
100187,0.03719088
100212,0.017133454
100222,0.032238167
100223,0.019597495
100232,0.008089008
100241,0.122882955
100245,0.02881499
100253,0.019223854
100256,0.062457025
100271,0.0043632477
100278,0.52447236
100280,0.010823293
100306,0.19789948
100311,0.11913048
100312,0.016993115
100330,0.04749971
100331,0.02042676
100352,0.07970883
100358,0.06735835
100367,0.017766904
100382,0.050330177
100384,0.1837797
100385,0.055476826
100386,0.018344166
100399,0.030516883
100404,0.017754177
100416,0.008966278
100422,0.040398136
100426,0.037368502
100438,0.029662373
100444,0.13542888
100445,0.11617407
100446,0.06569297
100447,0.023780467
100450,0.08569809
100466,0.021306295
100483,0.019217985
100484,0.012056897
100494,0.03924115
100510,0.11849702
100512,0.009210723
100517,0.021605013
100548,0.013015852
100551,0.06355158
100552,0.057485413
100553,0.010006549
100561,0.16593428
100568,0.3645478
100569,0.017224267
100591,0.09445457
100592,0.020604596
100602,0.029464317
100607,0.05356157
100613,0.065587215
100617,0.056782927
100618,0.11702446
100622,0.07896238
100625,0.034119036
100677,0.077544205
100699,0.049638487
100702,0.43857673
100711,0.021073496
100729,0.13672805
100740,0.16866612
100744,0.08638894
100745,0.07471159
100747,0.060871705
100751,0.26363948
100752,0.041266914
100753,0.20856354
100754,0.37745485
100760,0.03655875
100762,0.066020325
100763,0.022836687
100765,0.013672362
100770,0.07287865
100772,0.018209908
100777,0.01456064
100791,0.024950717
100792,0.019681497
100797,0.038106985
100823,0.04559886
100826,0.07710541
100830,0.029026717
100836,0.117591925
100872,0.015730958
100910,0.057619683
100913,0.059947938
100918,0.013468872
100931,0.020383649
100952,0.022126393
100953,0.016582895
100965,0.11646368
100970,0.02805789
100982,0.14569771
100983,0.18471071
100984,0.063188046
100987,0.06950418
100997,0.041408267
100998,0.17927626
101002,0.044476014
101005,0.187075
101008,0.27578318
101020,0.039461926
101021,0.094253816
101024,0.02598562
101025,0.20512606
101026,0.021883257
101031,0.017537057
101041,0.022995962
101051,0.014142325
101055,0.056954037
101056,0.17981854
101057,0.021164494
101064,0.010410923
101079,0.06028015
101087,0.011847186
101090,0.041623503
101092,0.07345599
101097,0.16719772
101099,0.01458508
101107,0.08850694
101118,0.03914395
101125,0.10376062
101126,0.008399591
101128,0.024638921
101136,0.08041009
101140,0.11377733
101149,0.08597685
101160,0.09674172
101169,0.15760118
101181,0.058159925
101186,0.011928761
101190,0.034553792
101193,0.11143962
101194,0.0846848
101198,0.18348767
101200,0.016214468
101204,0.020640716
101211,0.06133761
101213,0.0243822
101223,0.029766256
101225,0.115003265
101237,0.058272164
101243,0.08121035
101244,0.10735593
101258,0.02537539
101259,0.15752001
101268,0.28064328
101269,0.058490347
101271,0.034452464
101279,0.025347762
101281,0.1872164
101287,0.08670088
101292,0.030837387
101294,0.029711213
101296,0.06683222
101297,0.023871236
101299,0.045537494
101301,0.028789686
101305,0.05776183
101308,0.19243579
101318,0.0076680733
101327,0.2775725
101329,0.015479524
101332,0.04061648
101337,0.04139432
101343,0.025756216
101345,0.019476198
101346,0.013886451
101353,0.010380787
101354,0.13343431
101355,0.25720528
101356,0.016424196
101362,0.14915368
101363,0.4075397
101365,0.01962034
101366,0.098728776
101367,0.3090675
101368,0.010534622
101374,0.14761525
101380,0.019924914
101383,0.030633982
101398,0.030402679
101399,0.2217488
101401,0.18750714
101412,0.07717427
101426,0.05289186
101427,0.40507212
101428,0.10905643
101429,0.14867398
101434,0.031593096
101440,0.3371651
101448,0.08252509
101449,0.035392515
101465,0.076622464
101467,0.023234125
101472,0.04737236
101478,0.28759363
101497,0.05918216
101504,0.026117507
101547,0.014158444
101548,0.04409679
101555,0.07445424
101570,0.024416603
101572,0.041137878
101578,0.039672364
101580,0.059157304
101588,0.110026516
101602,0.08229758
